week,SouthCarolina,Stanford,Texas,Iowa,Tennessee,UConn,Louisville,IowaState,NotreDame,NorthCarolinaState,OhioState,Indiana,NorthCarolina,VirginiaTech,UCLA,LSU,Maryland,Utah,Duke,Villanova
1,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,
2,1,2,3,4,,5,6,7,9,10,8,,,,,,,,,
3,1,2,,9,,3,10,5,7,,4,6,8,,,,,,,
4,1,2,,10,,3,,8,7,,4,5,6,9,,,,,,
5,1,2,,,,6,,10,5,9,3,4,8,7,,,,,,
6,1,2,,,,9,,,5,8,3,4,7,6,10,,,,,
7,1,2,,,,9,,,5,7,3,4,6,8,,10,,,,
8,1,2,,,,8,,,5,6,3,4,,7,10,9,,,,
9,1,2,,,,5,,,4,10,3,6,,9,,7,,8,,
10,1,2,,,,4,,,7,,3,6,,,8,5,9,10,,
11,1,4,,10,,5,,,7,,2,6,,,9,3,,8,,
12,1,3,,10,,5,,,7,,2,6,,,8,4,,9,,
13,1,2,,6,,5,,,9,,10,4,,,,3,8,7,,
14,1,6,,5,,4,,,10,,,2,,,,3,8,7,9,
15,1,3,,7,,6,,,10,,,2,,,,5,8,4,9,
16,1,3,,6,,4,,,10,,,2,,9,,5,7,8,,
17,1,6,,7,,9,,,10,,,2,,8,,4,5,3,,
18,1,5,,2,,7,,,,,,3,,4,,9,6,8,,10